m,U,num_incident,num_detected
1.1233240329780266e-06,0.00017475284000076848,7476284.252026321,7485109.797291292
1.1233240329780266e-06,0.0001873817422860385,8017492.967290717,8027819.559414855
1.1233240329780266e-06,0.00020092330025650479,8598208.635435903,8601304.459008008
1.1233240329780266e-06,0.00021544346900318845,9231734.148998268,9230063.282777335
1.1233240329780266e-06,0.00023101297000831605,9878006.615943419,9889899.734238839
1.1233240329780266e-06,0.0002477076355991711,10594838.225617116,10602423.136089249
1.1233240329780266e-06,0.00026560877829466864,11370004.929360278,11372905.703766147
1.1233240329780266e-06,0.0002848035868435802,12185285.452623768,12185878.328432404
1.1233240329780266e-06,0.0003053855508833416,13061258.461690547,13072053.801115694
1.1233240329780266e-06,0.00032745491628777284,14015750.050930027,14005093.572872644
1.1233240329780266e-06,0.0003511191734215131,15007856.886611791,15034096.612248326
1.1233240329780266e-06,0.00037649358067924675,16100263.578282565,16120884.35359766
1.1233240329780266e-06,0.0004037017258596554,17245762.282816645,17269682.090167437
1.1233240329780266e-06,0.0004328761281083057,18523041.654313304,18527379.40419348
1.1233240329780266e-06,0.0004641588833612782,19870430.23470681,19872465.569385167
1.1233240329780266e-06,0.0004977023564332114,21298645.49932262,21331996.033124737
1.1233240329780266e-06,0.0005336699231206312,22825826.847318627,22847184.383083217
1.1233240329780266e-06,0.0005722367659350221,24512951.990745787,24482012.140222162
1.1233240329780266e-06,0.0006135907273413176,26250909.719150905,26257357.89869548
1.1233240329780266e-06,0.0006579332246575682,28145964.20684293,28149088.252118714
1.1233240329780266e-06,0.0007054802310718645,30212948.7554419,30232617.874334957
1.1233240329780266e-06,0.000756463327554629,32354925.173448537,32346618.361754864
1.1233240329780266e-06,0.0008111308307896872,34733864.846785784,34718174.66298155
1.1233240329780266e-06,0.0008697490026177834,37245158.379675664,37270645.56163983
1.1233240329780266e-06,0.0009326033468832199,39918963.314306766,39952865.37360617
1.1233240329780266e-06,0.001,42765651.343311585,42797899.21542146
1.261856883066021e-06,1e-06,42864.863711400445,42827.15396100501
1.261856883066021e-06,1.0722672220103232e-06,45944.876061815696,45894.74973028991
1.261856883066021e-06,1.1497569953977357e-06,49189.22575282083,49204.235494572524
1.261856883066021e-06,1.232846739442066e-06,52679.3942014683,52806.19404791345
1.261856883066021e-06,1.3219411484660288e-06,56562.48667955096,56602.741825582554
1.261856883066021e-06,1.4174741629268049e-06,60645.688680988496,60698.99692468599
1.261856883066021e-06,1.519911082952933e-06,64965.794293333616,65031.21795175112
1.261856883066021e-06,1.6297508346206435e-06,69663.8035751115,69687.02388966239
1.261856883066021e-06,1.747528400007683e-06,74890.25305118393,74796.38253011247
1.261856883066021e-06,1.873817422860383e-06,80264.66527291414,80254.27651509266
1.261856883066021e-06,2.0092330025650458e-06,85952.92029792599,86035.61753878114
1.261856883066021e-06,2.1544346900318822e-06,92220.66728684166,92052.2387530474
1.261856883066021e-06,2.310129700083158e-06,98894.26082067857,98915.61941441745
1.261856883066021e-06,2.477076355991709e-06,105965.97968366073,105966.26439468778
1.261856883066021e-06,2.656087782946684e-06,113611.36590374295,113588.7325569876
1.261856883066021e-06,2.848035868435805e-06,121896.81842031602,121912.24112589193
1.261856883066021e-06,3.0538555088334123e-06,130769.66131534541,130535.06437758953
1.261856883066021e-06,3.2745491628777315e-06,140028.5569207529,139969.8392823189
1.261856883066021e-06,3.5111917342151275e-06,150154.73127301584,150332.66708095552
1.261856883066021e-06,3.764935806792471e-06,161285.67149286123,161265.0762839637
1.261856883066021e-06,4.037017258596558e-06,173045.48235688292,172648.51560701485
1.261856883066021e-06,4.328761281083061e-06,185440.95012214885,185132.36227874318
1.261856883066021e-06,4.641588833612782e-06,198649.41940574124,198705.4539991888
1.261856883066021e-06,4.977023564332114e-06,213013.5271800387,212987.26856649446
1.261856883066021e-06,5.336699231206313e-06,228362.31556775214,228503.26541371725
1.261856883066021e-06,5.72236765935022e-06,244961.55961586628,244919.19846054967
1.261856883066021e-06,6.1359072734131755e-06,262415.8421534412,262609.83582940424
1.261856883066021e-06,6.579332246575683e-06,281484.1708355053,281826.7018771325
1.261856883066021e-06,7.0548023107186455e-06,302233.095707074,302089.02312792646
1.261856883066021e-06,7.564633275546291e-06,323720.8016037459,323918.9070490868
1.261856883066021e-06,8.111308307896873e-06,347453.9606183173,347380.6640608117
1.261856883066021e-06,8.697490026177835e-06,372039.42405849835,372349.47110965924
1.261856883066021e-06,9.3260334688322e-06,398580.1569159994,399600.74264884106
1.261856883066021e-06,1e-05,427909.944783679,427774.69821619435
1.261856883066021e-06,1.072267222010323e-05,458975.3798999939,459245.7210195543
1.261856883066021e-06,1.1497569953977357e-05,491820.6816041533,492244.91723348934
1.261856883066021e-06,1.2328467394420658e-05,527676.923456283,527032.417245939
1.261856883066021e-06,1.3219411484660286e-05,565637.023207396,565730.1372241118
